iter	RMSE
0	2063294.348
1	2051731.248
2	2039450.478
3	2023442.188
4	2007118.92
5	1992182.331
6	1981226.536
7	1973269.686
8	1958812.887
9	1943727.625
10	1939318.713
11	1934558.655
12	1926890.521
13	1914922.377
14	1905572.963
15	1894194.2
16	1883051.058
17	1865903.063
18	1855816.274
19	1840624.656
20	1830342.317
21	1823661.599
22	1819311.303
23	1805568.279
24	1794191.698
25	1789792.443
26	1783078.63
27	1776122.44
28	1772288.294
29	1759271.476
30	1747108.606
31	1733948.207
32	1729849.652
33	1722525.479
34	1712322.917
35	1707215.023
36	1700570.707
37	1695340.785
38	1682087.475
39	1670638.965
40	1657274.701
41	1649889.211
42	1644032.866
43	1640759.523
44	1632441.271
45	1621682.489
46	1612030.813
47	1600611.956
48	1593825.17
49	1583962.29
50	1578851.156
51	1573055.616
52	1566281.686
53	1555155.138
54	1547486.272
55	1540807.641
56	1537425.008
57	1532349.743
58	1526802.154
59	1519547.573
60	1510006.559
61	1499327.958
62	1490525.257
63	1478837.871
64	1471615.685
65	1462531.536
66	1454341.319
67	1444251.542
68	1440650.314
69	1430884.756
70	1421932.555
71	1409053.142
72	1398359.864
73	1393329.666
74	1382834.459
75	1374680.911
76	1368464.167
77	1360763.331
78	1353640.343
79	1344170.438
80	1338874.251
81	1336220.82
82	1326536.704
83	1323649.595
84	1314583.684
85	1310154.852
86	1299596.606
87	1296879.416
88	1291711.011
89	1282764.969
90	1277934.422
91	1271512.521
92	1260654.487
93	1257927.778
94	1248647.923
95	1243416.36
96	1241092.519
97	1235856.009
98	1226690.063
99	1218065.029
100	1213391.211
101	1209057.583
102	1203723.074
103	1192247.833
104	1188999.373
105	1181159.226
106	1174636.106
107	1166544.192
108	1164722.045
109	1156232.537
110	1148548.306
111	1146545.455
112	1138114.528
113	1135970.476
114	1134433.6
115	1131311.499
116	1123491.475
117	1116181.78
118	1108891.14
119	1100615.409
120	1095360.959
121	1089044.209
122	1081181.014
123	1076286.93
124	1074022.384
125	1071673.178
126	1069984.831
127	1064259.745
128	1055401.773
129	1047875.153
130	1046149.982
131	1040813.813
132	1038020.073
133	1034852.637
134	1030296.883
135	1023526.383
136	1016454.915
137	1014653.544
138	1005995.807
139	999959.9017
140	998036.3134
141	993863.0954
142	987198.9992
143	981848.9775
144	977013.426
145	972958.0544
146	965707.1312
147	959035.7466
148	953696.145
149	946530.0256
150	945688.5095
151	938376.0028
152	931558.4762
153	925668.2107
154	918899.94
155	914829.6874
156	907832.4873
157	902248.2374
158	896398.9408
159	895025.3951
160	891595.7852
161	888930.9847
162	882197.4757
163	879150.187
164	875664.9159
165	873549.5503
166	867856.1734
167	861414.4311
168	855559.709
169	849725.3643
170	848432.1713
171	842528.899
172	836136.8778
173	833550.8142
174	827664.795
175	826480.8545
176	824022.8192
177	818996.9542
178	813548.6426
179	807917.3556
180	802532.7769
181	798795.2212
182	792871.4421
183	790260.274
184	784839.3724
185	783823.3728
186	781324.8325
187	775585.8223
188	770068.8716
189	769028.7856
190	766704.9722
191	760844.4317
192	755738.0171
193	750306.6758
194	747776.1501
195	742549.6884
196	736885.8748
197	735450.0085
198	729594.3174
199	726297.3356
200	722125.3512
201	716868.4809
202	712417.1352
203	706573.4957
204	702308.7633
205	697111.7268
206	695425.9706
207	690520.3628
208	690009.054
209	689166.7764
210	688028.7359
211	683133.3124
212	677992.7926
213	676544.434
214	671551.6069
215	669898.6822
216	665135.8329
217	660480.3979
218	656598.4774
219	655718.0259
220	650898.323
221	646126.4789
222	641977.6266
223	637407.9785
224	632922.5498
225	628573.3886
226	623380.2818
227	622265.4564
228	618066.843
229	613593.9196
230	609128.8833
231	604508.8923
232	599882.4303
233	598357.0677
234	593675.8952
235	592146.0151
236	589806.7187
237	588139.0497
238	584241.8265
239	579935.9978
240	578175.6413
241	573947.0934
242	570057.6828
243	566121.1962
244	561790.5786
245	557752.2874
246	553940.6059
247	552942.8498
248	549331.217
249	545586.6356
250	541959.7599
251	538146.3688
252	534448.488
253	530503.0439
254	526793.8575
255	525301.1607
256	521503.0125
257	517597.2923
258	513939.1259
259	510475.8776
260	507053.4504
261	505251.8631
262	504174.1775
263	500456.6617
264	497006.9432
265	493536.2011
266	490785.1814
267	487243.2579
268	485975.7819
269	482680.098
270	479258.0891
271	475864.8358
272	473790.0901
273	470489.6305
274	467192.5614
275	464286.1782
276	460841.0251
277	457457.9024
278	454045.7185
279	451206.8929
280	448116.0602
281	444803.4489
282	441395.5037
283	439278.8369
284	438357.1435
285	435122.8095
286	431916.3021
287	428870.7565
288	427460.5693
289	424315.7665
290	421241.8096
291	419077.3656
292	415982.73
293	414749.9645
294	411682.1033
295	408909.6958
296	406111.5486
297	403236.1624
298	402492.8721
299	399536.943
300	396578.3248
301	393636.683
302	391277.6907
303	388349.1978
304	385866.1022
305	382904.9436
306	380260.1573
307	377565.3291
308	374747.0589
309	372021.0942
310	371280.7559
311	368676.6202
312	366041.7471
313	363453.828
314	361119.577
315	358508.0803
316	357681.8581
317	355043.9818
318	352414.5288
319	350017.1282
320	347605.3906
321	344795.2561
322	343595.7528
323	341108.7351
324	339694.4047
325	337156.6433
326	334835.1168
327	332890.8248
328	330629.8923
329	328338.3589
330	326279.4489
331	324172.4135
332	321861.2695
333	319595.841
334	317346.1585
335	315008.8039
336	312596.5015
337	310310.9859
338	308026.448
339	305783.0791
340	303609.5715
341	301490.6086
342	299263.9155
343	297251.4063
344	294956.7592
