iter	Passed	Remaining
0	207	621217
1	281	421417
2	325	324740
3	431	322915
4	485	291022
5	556	277609
6	663	283564
7	703	263108
8	802	266857
9	895	267894
10	912	247845
11	921	229440
12	966	222043
13	1011	215742
14	1027	204565
15	1086	202687
16	1123	197081
17	1265	209709
18	1362	213806
19	1511	225143
20	1571	222964
21	1593	215742
22	1606	207913
23	1664	206406
24	1702	202575
25	1711	195795
26	2194	241593
27	2226	236280
28	2241	229658
29	2489	246439
30	2640	252887
31	2785	258381
32	2805	252283
33	2828	246754
34	2887	244600
35	2921	240564
36	2961	237126
37	2988	232925
38	3439	261167
39	3585	265301
40	4060	293034
41	4128	290764
42	4151	285505
43	4170	280149
44	4204	276091
45	4261	273667
46	4323	271663
47	4588	282196
48	4633	279064
49	5113	301669
50	5123	296275
51	5146	291795
52	5191	288649
53	5339	291285
54	5593	299489
55	5626	295794
56	5636	291016
57	5665	287388
58	5700	284162
59	5743	281453
60	5834	281103
61	5880	278652
62	5937	276796
63	6406	293900
64	6451	291296
65	6541	290810
66	6571	287692
67	7028	303050
68	7046	299311
69	7202	301489
70	7299	301125
71	7335	298318
72	7425	297747
73	7461	295021
74	7519	293275
75	7663	294860
76	7695	292143
77	7731	289636
78	7969	294671
79	8221	300097
80	8256	297539
81	8267	294188
82	8310	292071
83	8323	288950
84	8782	301194
85	8812	298594
86	8897	297906
87	8942	295912
88	8968	293332
89	9010	291345
90	9107	291129
91	9163	289660
92	9646	301534
93	9694	299698
94	10144	310205
95	10187	308173
96	10201	305321
97	10228	302891
98	10335	302859
99	10367	300656
100	10402	298587
101	10492	298119
102	10528	296125
103	10614	295581
104	10654	293751
105	10741	293249
106	11190	302558
107	11650	311965
108	11674	309652
109	11921	313203
110	12075	314283
111	12091	311777
112	12246	312880
113	12258	310335
114	12268	307771
115	12294	305662
116	12535	308884
117	12570	307007
118	12660	306509
119	13122	314930
120	13170	313372
121	13239	312314
122	13337	311956
123	13384	310430
124	13420	308663
125	13449	306781
126	13459	304471
127	13980	313696
128	14033	312334
129	14491	319924
130	14503	317646
131	14539	315910
132	14559	313860
133	14586	311973
134	14736	312737
135	14828	312274
136	14887	311119
137	14906	309152
138	14997	308699
